pup_sha256	ordinal	selector_slot	packet	class	target
06a22362f31eaf8c3a35283be35a1ffa31408ca33b150e6564d0242e4dbf4e25	621	r3	0	implemented	0x8000000000108e24
06a22362f31eaf8c3a35283be35a1ffa31408ca33b150e6564d0242e4dbf4e25	621	r3	1	implemented	0x8000000000109454
06a22362f31eaf8c3a35283be35a1ffa31408ca33b150e6564d0242e4dbf4e25	621	r3	2	implemented	0x80000000001093d4
06a22362f31eaf8c3a35283be35a1ffa31408ca33b150e6564d0242e4dbf4e25	621	r3	3	implemented	0x800000000010932c
06a22362f31eaf8c3a35283be35a1ffa31408ca33b150e6564d0242e4dbf4e25	621	r3	4	implemented	0x8000000000109268
06a22362f31eaf8c3a35283be35a1ffa31408ca33b150e6564d0242e4dbf4e25	621	r3	5	implemented	0x8000000000109224
06a22362f31eaf8c3a35283be35a1ffa31408ca33b150e6564d0242e4dbf4e25	621	r3	6	implemented	0x800000000010913c
06a22362f31eaf8c3a35283be35a1ffa31408ca33b150e6564d0242e4dbf4e25	621	r3	7	implemented	0x8000000000109014
06a22362f31eaf8c3a35283be35a1ffa31408ca33b150e6564d0242e4dbf4e25	621	r3	8	implemented	0x8000000000108ee0
06a22362f31eaf8c3a35283be35a1ffa31408ca33b150e6564d0242e4dbf4e25	621	r3	9	implemented	0x8000000000108e84
06a22362f31eaf8c3a35283be35a1ffa31408ca33b150e6564d0242e4dbf4e25	635	r3	0	implemented	0x800000000011736c
06a22362f31eaf8c3a35283be35a1ffa31408ca33b150e6564d0242e4dbf4e25	635	r3	1	implemented	0x800000000011756c
06a22362f31eaf8c3a35283be35a1ffa31408ca33b150e6564d0242e4dbf4e25	635	r3	2	implemented	0x8000000000116ea8
06a22362f31eaf8c3a35283be35a1ffa31408ca33b150e6564d0242e4dbf4e25	635	r3	3	implemented	0x8000000000116ea8
06a22362f31eaf8c3a35283be35a1ffa31408ca33b150e6564d0242e4dbf4e25	635	r3	4	implemented	0x8000000000117510
06a22362f31eaf8c3a35283be35a1ffa31408ca33b150e6564d0242e4dbf4e25	635	r3	5	implemented	0x80000000001174fc
06a22362f31eaf8c3a35283be35a1ffa31408ca33b150e6564d0242e4dbf4e25	635	r3	6	implemented	0x80000000001174ec
06a22362f31eaf8c3a35283be35a1ffa31408ca33b150e6564d0242e4dbf4e25	635	r3	7	implemented	0x80000000001174d8
06a22362f31eaf8c3a35283be35a1ffa31408ca33b150e6564d0242e4dbf4e25	635	r3	8	implemented	0x800000000011746c
06a22362f31eaf8c3a35283be35a1ffa31408ca33b150e6564d0242e4dbf4e25	635	r3	9	implemented	0x8000000000117414
06a22362f31eaf8c3a35283be35a1ffa31408ca33b150e6564d0242e4dbf4e25	635	r3	10	implemented	0x8000000000117400
06a22362f31eaf8c3a35283be35a1ffa31408ca33b150e6564d0242e4dbf4e25	635	r3	11	implemented	0x8000000000116ef8
06a22362f31eaf8c3a35283be35a1ffa31408ca33b150e6564d0242e4dbf4e25	635	r3	12	implemented	0x800000000011730c
06a22362f31eaf8c3a35283be35a1ffa31408ca33b150e6564d0242e4dbf4e25	635	r3	13	implemented	0x80000000001172f8
06a22362f31eaf8c3a35283be35a1ffa31408ca33b150e6564d0242e4dbf4e25	635	r3	14	implemented	0x8000000000117294
06a22362f31eaf8c3a35283be35a1ffa31408ca33b150e6564d0242e4dbf4e25	635	r3	15	implemented	0x8000000000117234
06a22362f31eaf8c3a35283be35a1ffa31408ca33b150e6564d0242e4dbf4e25	635	r3	16	implemented	0x8000000000116ea8
06a22362f31eaf8c3a35283be35a1ffa31408ca33b150e6564d0242e4dbf4e25	635	r3	17	implemented	0x8000000000116ea8
06a22362f31eaf8c3a35283be35a1ffa31408ca33b150e6564d0242e4dbf4e25	635	r3	18	implemented	0x8000000000117198
06a22362f31eaf8c3a35283be35a1ffa31408ca33b150e6564d0242e4dbf4e25	635	r3	19	implemented	0x8000000000117128
06a22362f31eaf8c3a35283be35a1ffa31408ca33b150e6564d0242e4dbf4e25	635	r3	20	implemented	0x8000000000116ea8
